sa-hash,a-hash,artist,song,count
c2be039596d721cc8fa13bfdeda4c8c2dcd203382a7802d0efacea50c862dc75,703cf6187598a5ce225e96a8fce301d8cee9aa77d0c8e488c27ed255ce68869f,Rockpile,"Teacher teacher",7
39ee80329d434225e153c4f72ea5176e09e5d8ff7eea194a0c192762b136649d,39d3a2e969b3dec11478d65ecb96ee6066ebd98920c816df9de7d131d9c67d0c,Martin,"Fiskar som viskar",21
c6ff844b7f95fa0f330368ed45ff1936e9099ec5bd4c1ca8315e43ee42416a32,f58e9a12011ec07e336a2baefc572486542fec8c8b7163daa6c6d0d0d61fa731,Emilia,"Var minut",23
dc46ec3c3fdcc6eb0d82f84ff7a8e6bc20d49ea7ef59dacde6e9519fcc3284cf,539f6b902a0f21768b314c41d3c407b279454dcbce78272c7f065b8a4b077ea9,"Magnus Uggla","Vandrar i ett regn",22
f10bfc3989e69862c799cf06960713f0d8bde46533a93a183f7edf8f2f06ece0,49f1ea1d26322fa6f84f9f11ddd7a8790672981299ce41a31a3661defedf06d7,"Fleetwood Mac",Albatross,10
f4fbc676818c9192774aa58d280a01dd7956948bc010d875082c04210d3f47c4,33aaa49bffc1da6dce8967b8e6786c8c91b47c6b05e302dfba8e8304ac79ac38,"Stephen Stills","Love the one you're with",7
82b9617df598357ec8611893ed8db0566f9df65b7804868a51ff4bfe52425985,8f7587b25d6538d9f0f62104024ad46bd42a268594a7bdaac840eef04b7fb27e,"Suzzies Orkester","Du gåtfulla hav (Sjöjungfruns sång)",15
3b324e952a9135b3ebe591f5bff83bcab52aa3fee337833ffec53a0b2aeb8d94,c862b85b311cc7a3489fa07b305e9226df3ca1f2ca4546cbfe33de06f8bb3c22,Loreen,Euphoria,28
98282c66c3faa22024f2c76dc7173f0e0a016d5cdd36081702d33eb5d8ac2eba,cd167e3b19f4ad83c3ef2c323c55df025c648a407db273f1f9ad113df7b8519e,"Shania Twain","I'm gonna getcha good",28
468a4c08ae6050ab0133d401ab9f2df3437a156e7fcecd69b86b2f601df00bd3,65ec53f302c861b16d31d88184faa6a18e6bf105fabb3377df65222c98c3aa13,"Fredrik Furu","Om du bara vill (LA version).",13
755f01126d99c761dd0851ba405cdd8ab4d846e20ab61e65c4d3ab24ac994af1,ee40bb538b9369699a2fd2b8294689e637f888fceae8b64185e3f9317285a6c1,"Paul Simon","You can call me Al",19
2bfdf5df2e6e8df728824d65280275d237ae880f7007573e81c784c17470799f,ee7d0d1d8c31f7f5949d099e071fe1c53baac4a3222089cf83f289d1a652037d,"Pet Shop Boys",Winner,16
b5a0f92a3b5f5402b17dab233ae37cbc36d6c1bccc8f5a27b7836d853c890719,3ebe03e7d60ff3483d0db8d5e63763ec48f2fbb4637e721c4365567f841e4cbb,"Petra Marklund","Förlorad värld",38
dfb1e32186e75860185bf9958b809a549d5238b5a165266948ccbb92dc83f2dc,4c2f2ce7973e9efbd1468d0c3306193dcab17408029d3a29d295cbbccc1123ad,"Brad Paisley","Beat this summer",17
bd9959f1e0555d452fdc23190a4b0b61fa81709f06f00c91c115484106a6b7be,a7fee5f047f3dd4c9c368c96dc565f5a7001d259d5855f2c9e17165f6d0adc29,"Tina Turner & Rod Stewart","It takes two",18
2ce4d201527f64173db27f1533febbc4a477cf1aa2b4571840f77baa3afde4d3,9fb4c0ae8fda472506b7bb8fbfe297300a8e38544d254b42cfe8c9d7e9fd1abb,"Status Quo","Whatever you want",15
04647c5e6fcf7f717981ec39ff9e2600ae18fab3793e6dc1b8d3c25addd007ea,bf073ba94f3bf597cbe57babb104866bbd29fd7f2a9721882c90f5c9cfb4994f,"James Arthur",Impossible,20
f89fe16d0b27d7bb8f120d0d063822dbf5a57ba7a61c8904c999f43db2867ef5,735bf4ffb438419f79ebfd3a7040db8a196c6b1381e8ad5279b16d33a0122f4d,"Mariah Carey & Miguel",Beautiful,17
fcc7dd7c6f9e5b5f6cd4f9c6b374eeda8227ce4409358237c63a10d469990941,731129272e0c600ee76584562de8962c87ec91979d0fac11525df42c6fd510d0,K.d.lang,"Constant Craving",6
d6dbc746be51af7171081b2e958d8ddfb8031910fd05dc16edad5c16252c948e,2210619848c218c5e441e6b1aeebbea2cecd2de71cb45228a3b9a337a291f433,"Jennifer Lopez","If you had my love",15
bf0e97dd953dfd13aa57efe18e711f390bab2f973c9619db519ea99be79c82ea,e81090dbc996f3b2bc64efb2ce768c7eb30e96d9d9f801a0c381abfb92ae3455,"Eva Dahlgren",Guldgrävarsång,11
237a0be57080f9d78871787e4192c67f57b879ffe18cb883965551356b80f95f,9ab5e1a4856824841eb86f649be100ce6854b9066abcdbe2374639afab063295,"Peter Lemarc",Tootoolah,4
95f9ee931c888ed92c219d65c8f1a9b6c082b7818343bd5c9d216a440898560a,ae20a729b6f3fcdfb18802763b0ae8e76bd5dfa7681d4bfe006f51863d3b8c53,"Gyllene Tider","Kung av sand",13
55c38c16f22610a77907d1211e3e3ba972cc9f74b5ceefe58abae72ad8119c80,f0dd1d97e8328693fc332a6477757cf2b03c70c16f85edc9b34d74221ecaf809,Zombies,"Time of the season",12
0867386f13a8096779dfb274442475384fb12d700406a00e12212fb838b215f0,b15a7aa9c754e6f62087c5433549d702bc13de2ea02843286cb69b43e318ff0a,"Prince & The Revolution","When doves cry",5
a66849acabd112b28aaacda5ef2fb4f05030b3c4b5fed7a1be8a9c46451fa537,5628964cc89a432a75c6ba09caa6c193cf9ddf7d481db5093917f58fe78b0328,"Matt Hires","Restless heart",35
27f67ef264c7eb7155c617da5c69716b71c9e87e4e572fc01f90a9813955c2d1,683aa415558e013acf68c68e9f4de3fa6bc7c9148d764fa067e9e925d7cac6b4,"Thomas Järvheden",Sekundärångest,11
bedc7c7c1b014d60a85dbc499a90965ebd74f3080d5959e985a8ec18792f1bd4,10c2d630409d5a4b8132f21478f40a030b8aefb29ab1a541da6d884a0286a6dc,Adele,Skyfall,19
ebbb18bb8942b852487769c65722b61be8a38714e01158d5446c93351f2839de,ff0ef10691053e0c5c83c9d7e683c87dc66a361b9e1cc1b5601633c2cfae0151,Anastacia,"Paid my dues",15
8b56603ef74e91ef133d8ced9e53ebeccf492f01a277df5094b5ceb79190735b,d96d14f5564eeb355178395b04cdb970c3dc8d01f54d1b7adf0288820457899c,Kent,"Dom andra",26
74b7b2bc6c7a95e797998df3b1f9dd0347a9635675a3362933705f92967581b9,b06c9c86ab9e1356c6294e2f03a6ebadbb843ec55b20110ddfdee2a5176a8593,"The Script",Millionaires,20
