s-hash,artist,song,count
5a55820e9bcf034b16d63ee23c5c291f375bed75292f2b57be408fdb4ad9acec,"Markus Krunegård","Vi dansar bättre utan kläder",75
98258e9040391e0aaa0788ae985328325256d2b76193356b0fa9dd67b6dc8377,"Reckless Love","Night on fire",130
86f94bc3e7a0e68de8b91a335af89e57176d5177e2336091c848f9d368bf4a1c,"Mutya Buena","Real girl",4
9930fce2cb69084b95b3c15132260dd1d56fb5d94c2bd5fbffdc9c687aa6c906,"Mange Schmidt",Maria,42
431182240bba1c40f379927754c289c84f72c979869b281d11639bddcb9be6f6,Train,"Hey, soul sister",154
c704fbcb5a6e1c8be762f666d4bf97ee519e2a7c8fec3f5a23f1f6896327dac1,"Far East Movement & Cover Drive","Turn up the love",87
1bbcedf9e45e26ebb0e9c38495431d5182fe5ca71ccfcd8e32950732ec334a52,Avicii,"X you",15
8be8af2c097dcf48812d319439768cd5c37fb05eeba01d5fe91f31fe94299a64,Timbuktu,"Allt Grönt",132
631be3af29ea84aa090364e73afba9a3e06c7ca0e112f8ba2631dda595f791d1,"Pitbull & Christina Aguilera","Feel this moment",58
c9fdf68c46062d1c4873d303ae3663d0dc671307d6786965d7ea929a8afde88b,Skrillex,"Scary Monsters And Nice Sprites",87
e72dd0ebd9d3060602086231c105c6b1fa6763ecb448605ca95af63db6cd1778,Maskinen,"Krossa alla fönster",125
85e255bec6db9ed1a199af508342b444f9bc7ad9be135d291c073d7f989dd277,"Tom Odell","Another love",41
ca01bde1a13cb642987ba73b2cabb2dbb17124ca422ad5b5f17dada534c89c74,"Green Day",Longview,32
1db2f568df28951c4beb0d3e936a8727a45b9c824b5475839905ebbfa85beeab,Milow,"You and me (in my pocket)",22
f1b062a1ee6316dff3b1c939d814b50ef12446ddcfcbf8b23a703f4963661661,"30 Seconds To Mars","Up in the air",17
e14aa5ebfddfb618328f619ca3ad5783d25fd8c0c4ff42b85c1cbe2c601dc43b,Madonna,"Hung up",44
dc6758e75837d09df9fdf46eddc48c84866bc381fb4854c0f055acf8cd14b572,"The Sounds","Painted by numbers",69
799b70857875f7c489f1b3e9098460d945f1595d52456274363574041c1a55d3,"Phillip Phillips",Home,41
