sa-hash,a-hash,artist,song,count
98870bf3735d2accd92ba40f75bfa67e360c33e083b76433ae67d230b64e58ce,3d534759e9801870e96f75500c90fa6a3c9c5a73387bb42ce8e30f2075f791d1,Birdy,"People help the people",128
53801d2f13f77ae74b5bd197db2ddabff212cdb99a3c680e90440f8111f2f062,8a0eba06cea66555076e653383df180012e7e9fb81bd6f32edbe4998be4c80c6,"Kanye West & Dwele","Flashing lights",61
8e9414bdb0d09be6a8f71f80020dda163599ae1656047a23ec8436401a50f2b0,9f18fbdceb57abea5443e361096bbc2773bb2eb1f79b4e6fefd278776688869b,Röyksopp,"What else is there?",18
84a85793ecf7c67b69334adb142aa39b26a31f87b27055dd405c6c5c9390883f,d8bc7fce0a8a25353c7ca09037294bc2ab369984b8f9c350c69c84904c1a603b,Nonono,"Pumpin Blood",335
0b13f66ca4880f90897eb60a57d1d9d7ce6182931097cab7d0f8edef3a3afa0b,5b97d71808810bb4f0f63905c645e6eeb60b1b77994d8391652e3f2ea4a8c223,Medina,"Miss Decibel",276
c3e42d9614b8a3123083511b3bcd9a7ad6f87af2b3216286c91182d0a8d749ba,f5fea8ab74706658366462362423f029bbf46acadd8f2c8bdf1221266089a792,Matisyahu,"One day",41
a64f5c420226962b866a64d59cf4c8cacde3d9da46e5f8cb15d259ad6560a91e,c2ce09cb217d8d65cc7085546021ff3468401b68b634e963323f2bdfe030bc8e,"Taylor Swift","Love story",63
d1448a6e49245aa2598a3ab6d47fed928088b8a3345744af318e96966e0fa281,7188d9a5edc7007acf4e909b51581862dc679a54f48767f1b168a1baa69ad2cf,"Major Lazer & Busy Signal & The Flexican & Fs Green","Watch out for this (Bumaye)",162
68490ac79dbc44d92e160e11e227a8edd5dfbb17a9cf5b774cd0f017183bedb4,a1504ee0d26ed88e2485e7de9f886df714a487f7df66eba79110e0c7b91303eb,"James Blunt","You're beautiful",44
9dd82ff77a67f8587acb1d3c2dfe330b5e1469d25f19397cd749f232d2baa217,9d4351c3bba9d5a6fdf10630e955362510a5170b73e36b5fd11a665f3d3b6f27,"Snoop Lion & Drake & Cori B.","No guns allowed",57
98be1be4b0f256dfd8b14fe936e549f536a00df2fe377537bd2c2193bc3bcfcc,c07ba24d3bcababc43f6ed23a91279c7e457d12445c137a9c58b5dc1034e35a8,"Daft Punk","One more time",26
